data,unidades,receita,preco_medio,indice_concorr,tem_promocao,estoque_medio,dia_semana,mes,semana_ano,dia_mes,trimestre,is_fim_semana,mes_sin,mes_cos,dow_sin,dow_cos,is_feriado,lag_1d,lag_7d,lag_14d,lag_21d,lag_28d,lag_35d,roll_mean_7d,roll_std_7d,roll_max_7d,roll_min_7d,roll_med_7d,roll_mean_14d,roll_std_14d,roll_max_14d,roll_min_14d,roll_med_14d,roll_mean_28d,roll_std_28d,roll_max_28d,roll_min_28d,roll_med_28d,diff_1d,diff_7d,diff_28d,trend_idx,aceleracao_7_28,roll_receita_7d,roll_receita_28d,lag_concorr_7d,promo_lag_1d,promo_lag_7d,cat_Beleza,cat_Casa & Jardim,cat_Eletrônicos,cat_Esportes,cat_Moda
2022-01-01,401,25422.22,91.57666666666667,1.0,0,4616.333333333333,5,1,52,1,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,True,False,False,False,False
2022-01-02,379,25315.92,90.82000000000001,0.9961333333333333,0,4490.0,6,1,52,2,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,401.0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.0,,True,False,False,False,False
2022-01-03,284,20383.02,92.84333333333332,0.9967999999999999,0,4395.333333333333,0,1,1,3,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,379.0,,,,,,,,,,,,,,,,,,,,,-22.0,,,2,,,,,0.0,,True,False,False,False,False
2022-01-04,276,19750.96,90.08333333333333,0.9933666666666667,0,4303.333333333333,1,1,1,4,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,284.0,,,,,,,,,,,,,,,,,,,,,-95.0,,,3,,,,,0.0,,True,False,False,False,False
2022-01-05,343,21788.07,89.68333333333334,0.9935,0,4189.0,2,1,1,5,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,276.0,,,,,,,,,,,,,,,,,,,,,-8.0,,,4,,,,,0.0,,True,False,False,False,False
2022-01-06,307,21578.86,93.08333333333333,0.9942333333333333,0,4086.6666666666665,3,1,1,6,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,343.0,,,,,,,,,,,,,,,,,,,,,67.0,,,5,,,,,0.0,,True,False,False,False,False
2022-01-07,331,22272.379999999997,90.26333333333332,0.9913666666666666,0,3976.3333333333335,4,1,1,7,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,307.0,,,,,,,,,,,,,,,,,,,,,-36.0,,,6,,,,,0.0,,True,False,False,False,False
2022-01-08,398,26278.77,92.15666666666668,0.9864333333333333,0,3843.6666666666665,5,1,1,8,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,331.0,401.0,,,,,331.57142857142856,46.82541027710327,401.0,276.0,331.0,,,,,,,,,,,24.0,,,7,,22358.77571428571,,0.9950571428571429,0.0,0.0,True,False,False,False,False
2022-01-09,417,26991.370000000003,90.02666666666666,0.9884000000000001,0,3704.6666666666665,6,1,1,9,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,398.0,379.0,,,,,331.14285714285717,46.092040424309616,398.0,276.0,331.0,,,,,,,,,,,67.0,-3.0,,8,,22481.139999999996,,0.9931190476190476,0.0,0.0,True,False,False,False,False
2022-01-10,281,20141.489999999998,90.50333333333333,0.9942333333333333,0,3611.0,0,1,2,10,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,417.0,284.0,,,,,336.57142857142856,54.193656279608796,417.0,276.0,331.0,,,,,,,,,,,19.0,38.0,,9,,22720.49,,0.9920142857142858,0.0,0.0,True,False,False,False,False
